id,title,authors,published,triage_status,summary
2607.22523v1,Gridnberg: A Topography-Aware Pedestrian Routing Dataset for New York City,Ariel Noyman,2026-07-24T17:53:20Z,drop,"Cities are rarely flat, yet urban network analysis usually represents streets as planar graphs. This simplification affects modeled impedance, route choice, and the interpretation of accessibility, particularly where alternative paths differ in grade. This paper introduces Gridnberg ('grid-n-berg', grid and mountain), a topography-aware pedestrian routing dataset for New York City. The dataset enriches the NYCWalks network with vertex-level elevations derived from the New York City Planimetric Database. For each pedestrian-network geometry vertex, the workflow averages selected elevation observations within a 50 m radius, retains segments with complete vertex support, and uses direction-specific cumulative ascent and descent to calculate three routing costs: horizontal distance, a comfort-oriented slope score, and an accessibility-sensitive slope score. The release retains 313184 of 315577 source segments (99.24%). Gridnberg supports reproducible terrain-aware analysis, transparent scenario comparison, and improved pedestrian-network representations in New York and other cities."
2607.22520v1,The Regression Tax: Decomposing Why Skills Help and Hurt LLM Agents,"Darshan Tank, Baran Nama",2026-07-24T17:50:03Z,drop,"Adding procedural skills to an LLM agent is typically evaluated by average improvement in task success. However, this metric hides an important cost: skills can also make agents worse. We measure both sides by comparing agents with and without skills across nearly 6,000 runs spanning two office automation benchmarks and three model harness stacks. This allows us to distinguish two outcomes. A regression is a task solved without skills but failed after skills are added. A residual failure is a task that fails both with and without skills. We find that regressions are substantial enough that the best performing skills outperform others primarily by regressing less, not by gaining more. We identify three causes of regression: (i) skill description osmosis, a skill changes an agent's behavior simply by being present in context, even when it is never invoked; (ii) grounding displacement, a skill's prescribed procedure overrides how the agent interprets its inputs; and (iii) verification displacement, where the procedure suppresses checks the agent would otherwise perform on its outputs. Analysing persistent failures reveals the same underlying pattern. Existing skills overemphasize procedural guidance the stage least often responsible for failure while under supporting grounding and verification, the dominant sources of remaining errors. After correcting evaluation artifacts and studying traces, we find many regressions and persistent failures recoverable through better grounding and verification. Procedural skills should be evaluated by decomposing their net effect into gains and regressions, not by aggregate improvement alone. We identify three regression modes skills should avoid, and find that reliability depends more on grounding and verification than on procedural skill choice."
2607.22514v1,Dysphagia Risk Stratification in Head and Neck Cancer via Two-Stage PRO-Clinical Stacking,"Siyuan Zhao, Eric Ababio Anyimadu, Zachary G. Brumm, Yue Ma, Clifton David Fuller, Xinhua Zhang, G. Elisabeta Marai, Guadalupe Canahuate",2026-07-24T17:34:26Z,drop,"Dysphagia is a debilitating late effect of head and neck cancer (HNC) treatment, yet timely identification of at-risk patients remains challenging in survivorship care. Definitive assessment relies on videofluoroscopic imaging, as captured by the Dynamic Imaging Grade of Swallowing Toxicity (CTCAE-DIGEST), which, while validated, requires specialized equipment, trained personnel, and significant patient burden, limiting its routine use in surveillance. Patient-reported outcomes (PROs), by contrast, are low-cost, scalable, and easily collected at any clinical encounter, making them an attractive alternative signal for identifying patients who may warrant further evaluation. However, a clear clinical framework for translating PRO responses into actionable interventions is still evolving. In particular, uncertainty remains regarding when a patient's self-reported symptom burden should prompt escalation of care.   This study addresses this gap by formulating a single-visit PRO-clinical prediction framework and introducing a clinically interpretable two-stage stacking model to predict swallowing impairment risk using PRO responses and structured clinical variables, without requiring videofluoroscopic imaging. The proposed framework quantifies the independent contributions of patient-reported symptoms and clinical factors within a unified and interpretable risk assessment model. Our findings demonstrate that individual MDADI responses contain predictive information beyond that captured by composite or global summary scores, while interpretability analyses reveal symptom patterns and clinical risk factors associated with swallowing impairment. Together, these results support the use of structured PRO-clinical integration as a practical, imaging-free approach for dysphagia risk stratification in HNC survivorship."
2607.22508v1,Interpretable EEG biomarkers with bag-of-waves: Spatial and temporal waveform dictionaries for low-data regimes,"Athanasios Papastathopoulos-Katsaros, Steven T. Lee, Lin Yao, Ajay Thomas, Junseok Park, Matthew J. McGinley, Zhandong Liu",2026-07-24T17:27:43Z,skim,"Electroencephalography (EEG) is widely used to diagnose neurological conditions, but its analysis usually relies on either predefined spectral features or deep neural networks. Predefined features carry a strong bias, since they fix in advance what counts as informative, while deep neural networks and foundation models are hard to interpret and need large amounts of data and compute. We present bag-of-waves, an interpretable framework that learns a small dictionary of recurring EEG waveform templates, called atoms, using shift-invariant k-means without labels. The continuous EEG is then turned into a sequence of atom tokens, whose counts feed a simple downstream classifier or clustering step. We extend this representation in two ways: we add atom-to-atom transitions, which we call n- grams, to capture temporal structure, and we move from single-channel atoms to regional and cross-channel spatial atoms for the multichannel case. We test the method on three complementary datasets, each probing a different aspect: single-channel mouse genotype clustering with only sixteen animals (the low-data and temporal case), resting-state dementia classification (the spatial case), and the TUEV benchmark, a six-way classification of clinical EEG events (a high-data comparison against strong deep and foundation baselines). Across all three datasets, bag-of-waves achieves performance competitive with state-of-the-art deep and foundation models. Yet, it operates with a fraction of the parameter count and provides full interpretability: because every atom corresponds to an inspectable waveform, the method explicitly recovers known clinical morphologies that a neurophysiologist can directly validate. Its main advantage is that it works in the low-data regime where heavier models are a poor fit."
2607.22504v1,Kidney function and kidney failure prediction in a large multiethnic population,"James A. Diao, Morgan Sanchez, Adir Sommer, Keren Cohen, Maya Makov-Assif, Marinka Zitnik, Ben Reis, Ran D. Balicer, Noa Dagan, Arjun K. Manrai",2026-07-24T17:17:55Z,drop,"Background: Patients with chronic kidney disease (CKD) experience worsening kidney function and develop subsequent kidney failure at different rates. Accurate estimates of a patient's current and future kidney function are needed for optimal clinical decision-making.   Methods: To compare current and previously recommended equations for estimating kidney function and risk of kidney failure across a large multiethnic population, we conducted a retrospective multicenter cohort study of primary care, acute care, and hospital settings. Our study population comprised 1,909,042 adults with at least one recorded serum creatinine measurement during 2012-2014, with follow-up until January 2025. Our primary outcomes were the area under the receiver operating characteristic curve and prevalence of CKD by stage across regions of origin.   Findings: GFR estimates from the two race-stratified equations (2006 MDRD and 2009 CKD-EPI) were similarly calibrated. GFR estimates from the two race-neutral equations diverged, with 2021 EKFC producing lower GFR estimates and 2021 CKD-EPI producing higher GFR estimates compared to prior equations. The oldest equation, 2006 MDRD, was the most discriminative of kidney failure within 5 years while the newer European equation, 2021 EKFC, was the least discriminative, with AUROCs of 0.862 (95% CI, 0.855-0.869) and 0.846 (95% CI, 0.838-0.853), respectively. The age-adjusted prevalence of CKD varied by the choice of eGFR equation (ranging from 8.5% for 2021 CKD-EPI to 10.8% for EKFC) and across regions of birth (ranging from 8.9% for East Sub-Saharan Africa to 15.3% for South Asia).   Interpretation: Using 10 years of follow-up for nearly 2 million individuals, our study demonstrates how newly developed US and European equations diverge from previously recommended equations with broad clinical and epidemiological implications."
2607.22494v1,CARA: Concept-Aware Risk Attention for Interpretable Collision Anticipation,"Zhishan Tao, Ruoyu Wang, Yucheng Wu, Enjun Du, Yilei Yuan, Sherwin Ho, Yue Su, Jinbo Su, Yi Hong",2026-07-24T17:06:05Z,drop,"Collision anticipation in autonomous driving requires not only accurate early warnings but also interpretable reasoning about what risk factors are being tracked and how risk evolves over time. Existing methods fall short in this regard: feature-driven models are opaque, post-hoc explanations often lack fidelity, and concept-based methods are mostly designed for static recognition rather than dynamic driving scenes. We propose CARA (Concept-Aware Risk Attention), an intrinsically interpretable spatio-temporal framework for collision anticipation. CARA derives domain-grounded risk concepts from accident narratives, aligns them with video frames via vision-language similarity, and organizes them into evolving concept trajectories. These trajectories provide explicit risk evidence that guides spatial attention, temporal attention, and anticipation, allowing semantic concepts to directly influence both where the model attends and how it predicts risk over time. By treating semantic risk factors as dynamic intermediate evidence rather than auxiliary post-hoc explanations, CARA tightly couples interpretability with the predictive process. Extensive experiments on three benchmarks show that CARA consistently improves anticipation accuracy and warning earliness over strong baselines, while providing sparse and semantically grounded concept evidence."
2607.22491v1,Susceptible Reservoir Architectures for Regime-Conditional Volatility Forecasting,Aliaksei Kaliutau,2026-07-24T17:03:08Z,drop,"Volatility forecasting is dominated by persistence and measurement noise, leaving limited residual structure for nonlinear models to exploit. We introduce Susceptible Architectures (SUSA), a reservoir-design principle for volatility forecasting, and its two concrete implementations, based on complex-valued open-chain and periodic reservoirs and regime-conditioned experts to interpret reservoir features across calm, onset, recovery, and persistent-stress states. We also implement open-system $q$-qubit counterparts in Qiskit while retaining a common AR-Ridge anchor and a bounded residual correction trained under QLIKE. We evaluate models on 16 U.S. equity and exchange-traded-fund series using three disjoint chronological training, validation, and test folds, a 12-observation input window, and a five-observation forecast horizon. The proposed models perform competitively with GARCH, achieving statistically significant QLIKE improvements for specific assets (IWM, XLP). Also models' forecasts complement HARQ-style predictions: a stacked ensemble improves mean QLIKE by 0.0116 over its strongest constituent and wins in 75% of test scenarios."
2607.22487v1,Quasiparticle interference as a tool to study quantum materials,"Luke C. Rhodes, Yuhki Kohsaka, Tetsuo Hanaguri, Carolina de Almeida Marques, Peter Wahl",2026-07-24T16:57:03Z,drop,"To understand the properties of quantum materials a detailed knowledge of the material's low energy electronic structure is key. Details of the electronic structure drive the ground state through electronic instabilities, electronic correlation effects, new electronic orders or just the absence of electronic states near the Fermi energy - making a realistic and detailed understanding crucial to be able to control and design properties of quantum materials. The past 25 years have seen a significant improvement in experimental techniques to observe the true electronic structure, in particular in techniques such as Angle resolved photoemission spectroscopy (ARPES) where energy resolutions of 2meV are routinely achievable now, which however is limited to zero magnetic field and only provides information about the occupied states. Scanning tunneling microscopy (STM) achieves a significantly better energy resolution <100$μ$eV and can operate at temperatures well below 50mK and in magnetic fields. While per se a real-space technique, by imaging quasiparticle interference (QPI) STM can also provide information about the electronic structure. This technique has been used over the past decades to study a wide range of quantum materials to understand correlated electron behaviour. Recent theoretical progress now enables routine modelling of QPI, a key requirement to interpret the complex data. Here, we review the principles of QPI, its origin, experimental detection, and the physical insight gained from the study of QPI and possible future directions for this technique."
2607.22473v1,Generalized Theory of Blowout-Regime Plasma Wakefields via a Lagrangian Formulation,"Y. Kang, P. Manwani, S. S. Baturin, G. Andonian, B. Naranjo, J. B. Rosenzweig",2026-07-24T16:41:08Z,drop,"The blowout regime of plasma wakefield acceleration is a strongly nonlinear plasma response in which an intense relativistic beam or laser pulse expels plasma electrons forming a nearly uniform ion column. Existing self-consistent theories describe this structure primarily in the axisymmetric limit, reducing the bubble dynamics to a single radial degree of freedom. This restriction is inadequate for flat beams with highly asymmetric transverse emittances, as required in future linear colliders to control luminosity and beamstrahlung. Using a reduced Lagrangian formulation, we generalize the existing theory beyond axisymmetry and derive a coupled system of equations governing the wake potential driven by an asymmetric beam. This theory self-consistently predicts the focusing fields and their variation along the co-moving coordinate, as well as the accelerating field and its transverse nonuniformity. The resulting theoretical predictions are benchmarked against particle-in-cell simulations, demonstrating the theory's ability to describe and interpret wakefields driven by nonaxisymmetric sources."
2607.22463v1,Beyond Perspectives: A Trio-Ethnography of Interpretation Evolution in LLM-Supported Programming Education,"Jennie Ren, Jordan H. McDowell, Kyrie Zhixuan Zhou",2026-07-24T16:28:14Z,skim,"Generative AI is reshaping programming education, yet educators often infer students' AI-supported learning from classroom observations alone. This experience report presents a trio-ethnography involving two computing educators with different teaching philosophies and one undergraduate computer science student to examine how these interpretations evolve through dialogue. Across three conversations, the educators reflected on students' AI use, discussed changes to programming pedagogy, and revisited their assumptions after engaging with the student's lived experiences. Rather than simply confirming or contradicting the educators' perspectives, the student's narratives revealed learning processes that were largely invisible in the classroom, prompting both educators to reconsider assumptions about AI use, assessment, transparency, and programming instruction. We argue that trio-ethnography offers a valuable reflective approach for helping computing educators move beyond observable student behaviors toward a richer understanding of AI-supported learning and for informing instructional adaptation in the era of generative AI."
